"일자(stdr_de_id)","시간(tmzon_pd_se)","행정동코드(adstrd_code_se)","집계구코드(oa_cd)","생활인구합계(tot_lvpop_co)","남자0~9세(male_f0t9_lvpop_co)","남자10~14세(male_f10t14_lvpop_co)","남자15~19세(male_f15t19_lvpop_co)","남자20~24세(male_f20t24_lvpop_co)","남자25~29세(male_f25t29_lvpop_co)","남자30~34세(male_f30t34_lvpop_co)","남자35~39세(male_f35t39_lvpop_co)","남자40~44세(male_f40t44_lvpop_co)","남자45~49세(male_f45t49_lvpop_co)","남자50~54세(male_f50t54_lvpop_co)","남자55~59세(male_f55t59_lvpop_co)","남자60~64세(male_f60t64_lvpop_co)","남자65~69세(male_f65t69_lvpop_co)","남자70~74세(male_f70t74_lvpop_co)","남자75~79세(male_f75t79_lvpop_co)","남자80세이상(male_above_80_lvpop_co)","여자0~9세(female_f0t9_lvpop_co)","여자10~14세(female_f10t14_lvpop_co)","여자15~19세(female_f15t19_lvpop_co)","여자20~24세(female_f20t24_lvpop_co)","여자25~29세(female_f25t29_lvpop_co)","여자30~34세(female_f30t34_lvpop_co)","여자35~39세(female_f35t39_lvpop_co)","여자40~44세(female_f40t44_lvpop_co)","여자45~49세(female_f45t49_lvpop_co)","여자50~54세(female_f50t54_lvpop_co)","여자55~59세(female_f55t59_lvpop_co)","여자60~64세(female_f60t64_lvpop_co)","여자65~69세(female_f65t69_lvpop_co)","여자70~74세(female_f70t74_lvpop_co)","여자75~79세(female_f75t79_lvpop_co)","여자80세이상(female_above_80_lvpop_co)","등록일자(ldadng_dt)"
"20190718","18","11230660","1111078070101",548.5159,6.7978,12.896,4.1069,10.4298,9.9336,18.9869,0.3098,16.0097,40.4524,0.3052,2.2235,9.6679,11.9947,3.3211,1.9654,0.85,69.357,0.9722,7.8766,6.9935,6.9041,0.6338,66.9111,7.8562,0.4854,6.865,11.28,8.6502,0.5136,5.4169,14.7535,9.6436,"2021-08-17 16:06:44"
"20210311","08","11305660","1125054010301",559.8829,2.5325,11.9386,27.9324,30.7829,8.6106,24.3567,68.372,1.1629,8.6511,13.1954,0.1073,9.3185,1.2196,4.1653,17.9687,5.1973,3.3277,0.2156,7.8165,0.1311,29.4944,2.6111,51.3061,3.8621,12.3144,3.2558,9.2088,15.6339,135.9416,0.002,16.7666,9.248,"2021-08-17 16:06:44"
"20190511","23","11650550","1107071030010",936.2841,24.2413,2.8929,0.1849,0.123,27.2281,15.4799,3.0461,9.4965,41.3477,18.0877,11.2524,21.2819,5.8658,2.4951,3.2347,5.7113,11.6896,11.4827,1.585,2.9303,2.541,3.9613,47.6156,16.3935,1.7678,0.4048,9.2153,13.2453,3.511,17.5227,3.3854,41.1839,"2021-08-17 16:06:44"
"20190519","19","11710610","1119062011101",650.5924,2.8771,2.3583,17.3339,0.7185,9.7384,25.9848,3.9187,8.4892,11.1872,13.0232,8.0038,16.3633,1.7581,6.5008,14.679,4.0387,10.7158,14.6336,0,34.7565,21.8772,70.1689,30.5264,1.1589,26.7708,53.6188,134.3688,36.9876,17.0799,1.7465,2.2634,5.9607,"2021-08-17 16:06:44"
"20201224","13","11590605","1121052030006",193.8938,27.7887,0,32.8997,0.0347,13.7162,17.3027,14.0311,11.6541,58.0872,6.3375,1.2472,3.341,17.4811,3.5802,13.6905,1.9261,53.2341,4.0029,33.7695,39.8998,16.765,19.3215,2.4209,39.6634,50.5454,20.6685,9.5427,22.2815,18.3996,3.4984,15.1744,17.0829,"2021-08-17 16:06:44"
"20180211","07","11290590","1116067020101",238.5498,2.1096,6.2397,2.4436,15.6863,3.2581,6.9585,2.1915,11.3584,19.8527,36.7751,13.6101,12.6357,4.9447,4.0069,21.6776,1.7289,26.1596,0.0119,19.2029,0.2559,96.5572,5.7719,1.3527,14.8682,45.6689,0.0145,6.2878,11.0276,19.1493,1.359,1.6615,2.4728,"2021-08-17 16:06:44"
"20210517","12","11740570","1105060020015",843.4226,2.9814,0,2.9083,167.9819,53.654,1.2946,22.3255,7.9633,10.2738,10.1719,15.9035,84.2024,14.6496,29.5865,5.2953,2.8559,12.7852,7.2838,70.7843,32.7338,36.271,4.8405,33.2022,37.6007,5.7708,39.2954,13.535,6.2391,11.7488,8.885,6.1581,3.571,"2021-08-17 16:06:44"
"20191210","20","11680660","1123077010102",38.979,10.443,4.6747,9.227,14.7026,42.8298,24.3684,13.3241,44.1101,16.988,10.6492,10.9369,15.9068,28.5199,2.1783,23.3831,16.4983,23.8035,9.8131,6.9282,19.7825,18.9338,5.978,9.0471,1.1185,19.5385,30.78,0,23.0461,5.5168,24.2513,7.2366,2.7349,"2021-08-17 16:06:44"
"20181225","23","11380570","1120070020002",83.1664,7.0895,14.4728,5.3877,0.0619,2.4907,80.0935,23.2827,33.8463,30.7251,2.5633,8.2902,15.0469,2.8161,9.6172,8.8877,7.3711,10.6068,7.702,1.7203,8.3294,20.7395,7.9795,2.0231,22.6429,11.3557,9.8225,13.3814,19.4856,15.3998,5.4794,4.4325,2.9094,"2021-08-17 16:06:44"
"20210906","17","11230720","1110062040103",46.4592,1.54,10.7161,7.884,8.4744,5.3959,102.9059,3.1195,10.4597,91.2992,20.7102,36.4844,11.8611,25.8869,6.3631,1.057,1.3549,0.1006,0.5129,9.9192,12.5739,8.7984,15.0206,32.0095,22.1412,35.5358,9.7248,49.9854,0.2433,2.9013,17.5782,0.6699,2.4601,"2021-08-17 16:06:44"
"20190428","12","11380625","1111058060203",199.9719,4.6627,1.7608,19.8773,7.7684,0.0012,305.0482,5.8281,10.0774,22.9871,76.2407,9.3336,0.1846,0.2827,4.7103,4.747,2.4492,11.9313,0,34.2052,14.2488,62.4618,2.0803,0.0036,23.6586,26.5869,13.8804,54.2989,8.5537,2.9481,6.6132,29.2279,10.8189,"2021-08-17 16:06:44"
"20190625","10","11500591","1124063020020",785.3567,15.7128,0.2649,10.4305,20.586,27.5229,226.3484,13.6577,47.7218,28.7,20.2717,17.5865,102.6688,0.2948,15.3508,3.9828,8.3274,10.1115,18.1031,24.1099,28.1888,67.5907,4.5136,51.1974,0,15.7228,17.4552,57.0336,12.6554,5.67,3.0742,1.8367,0.3921,"2021-08-17 16:06:44"
"20170203","08","11410690","1123077020116",35.744,10.5839,6.1555,4.8817,61.7675,12.5463,1.3424,6.137,26.4562,16.5588,0.1224,46.6514,8.6909,9.2827,5.7733,0.0529,0.3502,0.3149,21.874,7.7415,5.2967,5.7866,1.9751,31.2765,6.7352,38.0174,16.7608,57.2729,45.1303,27.7656,8.7453,0.6193,100.1577,"2021-08-17 16:06:44"
"20180110","00","11290630","1125061010019",651.0957,15.8171,27.6514,9.0112,0.0236,53.0126,0,8.7603,24.0856,0,19.8635,20.6244,45.8671,2.1928,3.6417,4.234,1.7162,9.276,8.7299,7.3401,673.094,1.0709,0.0238,20.647,8.3004,3.4626,5.3816,34.7689,4.3269,0.3217,0.9251,0.581,32.1031,"2021-08-17 16:06:44"
"20191216","01","11305575","1105056020022",662.7828,17.8956,37.872,9.0165,3.5018,1.5386,4.7564,1.8197,11.1787,11.7483,9.9719,2.2662,13.868,2.8333,18.3316,9.6762,0.8544,11.7164,2.2238,14.3698,132.4761,0.1499,13.0662,12.8646,20.8304,56.4809,34.0563,0.5471,18.0395,0.2732,18.27,13.3702,9.9634,"2021-08-17 16:06:44"
"20171015","00","11200570","1113072040013",94.9476,13.8246,0.0451,1.9023,2.3087,16.2104,2.4942,5.6949,249.7117,136.7908,18.2193,2.159,3.1546,10.204,50.9031,1.3655,0.2467,3.5938,2.447,1.6288,5.9669,1.5729,7.0219,49.9079,27.4759,36.4709,15.8541,107.875,54.5817,4.5335,9.3909,7.3529,3.5716,"2021-08-17 16:06:44"
"20181113","18","11215750","1112066020803",203.4887,20.7957,24.3437,1.6029,7.3844,0.6892,21.7804,119.5928,0.5142,20.7004,0.2391,15.3513,3.7681,11.3312,6.3791,1.8427,0.743,41.9166,16.7927,14.5561,27.8634,0.3244,44.8388,9.8507,34.2552,21.9114,34.8699,12.3693,0.6896,18.4152,8.3494,4.7482,5.742,"2021-08-17 16:06:44"
"20170426","20","11470530","1106090010205",191.5116,29.1722,1.095,2.2356,3.774,22.8122,0.3399,15.5531,9.5324,4.7853,26.8887,7.5691,15.5344,0.1866,7.8057,0.0429,2.7213,0.0945,6.1974,38.5891,12.3064,8.5617,1.5571,10.1501,22.5111,471.4368,25.6873,71.3436,1.4403,20.769,24.1442,5.6422,7.4953,"2021-08-17 16:06:44"
"20210422","15","11620575","1125054010603",236.1707,33.9702,0.9587,10.6682,12.0111,2.6487,26.7416,90.8678,0.0004,59.2831,116.6574,12.9941,18.0366,4.5391,6.2343,4.7793,7.3515,10.2505,52.3706,0.6667,16.1615,80.6734,1.0376,46.5138,20.7024,19.7471,2.8213,13.7732,0.0008,1.5938,5.9208,4.8176,5.2631,"2021-08-17 16:06:44"
"20200903","05","11560630","1122055020804",712.2982,25.0674,8.9083,27.4663,23.0111,5.5644,18.1417,0.4485,31.5771,10.6686,20.4072,0.3049,5.3622,53.0095,15.9182,5.1448,3.4728,83.2883,9.1549,2.421,13.4319,13.4009,1.3283,25.6793,37.7391,30.724,18.6469,8.5677,60.9473,1.5531,21.471,5.4036,13.717,"2021-08-17 16:06:44"
"20180222","19","11320710","1101067020001",452.8986,15.9462,10.8957,1.5159,44.9159,4.8924,32.8139,12.605,9.573,16.8682,2.492,39.4518,6.621,16.1171,8.332,0.014,2.1993,9.6004,9.5094,0.287,12.3959,0,9.328,79.3918,20.7247,8.2131,28.3516,42.2055,66.7933,117.2444,6.634,6.0387,11.3299,"2021-08-17 16:06:44"
"20181022","22","11380580","1114068010011",533.5783,20.4632,80.9486,3.4566,39.4236,16.4288,24.6887,20.4521,7.9733,68.5074,1.4756,6.4687,13.9243,3.3193,0.1785,1.4726,0.1146,1.8117,2.6717,10.8188,15.1367,14.6056,14.7864,11.8261,13.5401,106.4696,1.0159,1.8725,2.6656,5.4467,54.8857,4.1751,19.9926,"2021-08-17 16:06:44"
"20181017","01","11260680","1105055010008",28.8157,20.7532,24.6451,27.1606,3.3293,2.0819,0.6806,9.4456,2.0647,0.6723,25.4641,26.3976,22.7569,15.6735,1.6273,1.4088,1.764,63.7801,5.3289,2.922,12.407,5.4401,4.9213,6.9484,0.0433,9.6236,35.4754,22.8548,17.6127,7.4252,26.906,6.4704,6.2254,"2021-08-17 16:06:44"
"20210713","09","11710646","1119068020503",516.8214,0.7302,3.5663,0.1446,0.2642,25.8586,61.0637,20.0887,6.4997,22.2978,13.257,4.0005,2.862,14.464,2.0748,5.3921,0.3655,1.2975,3.3958,4.6899,18.0935,15.2103,2.2843,10.0555,21.5688,10.624,8.6727,21.7069,28.2611,11.618,4.4411,4.2937,11.3644,"2021-08-17 16:06:44"
"20190830","01","11380650","1105058020001",256.8305,20.6256,23.2523,41.2978,6.2346,26.602,12.7457,54.9629,4.318,18.2908,8.6583,5.3277,75.7206,0.8886,0.5562,0.635,4.0424,0.4072,11.5884,1.7366,16.8423,2.8608,16.7552,22.4052,14.3654,5.0824,12.5491,34.6921,7.6201,60.6935,89.1056,1.5213,16.6461,"2021-08-17 16:06:44"
"20201103","11","11215870","1103063010304",253.8763,7.1837,0.0501,0.1986,28.3747,81.9646,34.3631,12.7728,9.4612,57.1812,0.2036,18.733,3.1703,11.2597,2.6214,5.9783,2.139,0.6724,19.9448,0,25.5739,5.8861,22.9112,8.2395,13.2855,23.2836,16.7616,6.4747,8.5093,4.7791,16.5563,4.7978,4.902,"2021-08-17 16:06:44"
"20190721","07","11530730","1106090030013",2327.7078,17.3709,0.0001,30.8019,0.8422,15.704,2.268,21.0713,2.8077,30.9754,16.0772,8.9735,0,43.6523,2.9652,5.9734,1.5467,2.9725,15.9858,0,78.6876,1.7609,26.8153,26.8464,69.5434,6.9826,0,24.8227,16.4284,9.6311,2.4498,6.1293,135.2059,"2021-08-17 16:06:44"
"20190208","02","11590540","1123067010317",779.1779,20.9541,10.7773,0.0031,56.1309,0.7308,19.0758,12.5362,1.3944,4.6286,27.4938,9.7035,11.126,2.9981,32.8384,4.8478,5.3318,0,7.6011,9.2292,2.3168,3.7861,6.2732,80.6375,6.863,33.7792,17.6409,8.7743,11.0983,0,5.5337,3.5838,0.3181,"2021-08-17 16:06:44"
"20201015","13","11710540","1111065031101",150.8479,23.4684,5.6516,4.5856,14.8087,6.5586,18.7858,14.9826,5.1867,7.9865,28.7005,0.1398,8.8833,19.7982,15.1038,7.3462,10.608,12.2673,35.0335,8.1756,24.4359,35.4626,25.6068,0.0038,6.6459,55.6095,8.7381,21.0895,12.8444,11.8421,6.457,0.4929,4.4169,"2021-08-17 16:06:44"
"20191203","12","11470570","1106082100102",469.449,4.2282,5.6174,0.565,22.3858,27.9588,2.1963,2.355,65.0732,19.5431,8.3162,4.6142,8.7146,1.5724,4.4297,15.4469,0.6182,4.8597,0.3708,7.4564,45.5114,7.8852,4.0492,13.8843,12.7603,10.8059,49.3285,0.9972,5.3218,11.0065,8.1256,19.128,7.568,"2021-08-17 16:06:44"
"20170515","01","11680640","1112055020015",544.9887,19.4725,0.9146,7.5898,0,63.7512,20.055,9.2761,53.8563,1.5598,3.7934,4.744,0.0058,12.2021,6.8296,8.95,3.8146,10.7753,6.9026,39.9564,23.1209,4.5005,134.4551,8.002,31.947,14.8708,12.624,34.826,6.6491,0.1589,32.4926,6,5.6351,"2021-08-17 16:06:44"
"20201126","15","11305545","1111078020206",742.8109,5.3219,0.4849,0.1243,10.5095,1.334,111.9894,28.6702,23.4963,19.5237,3.9699,9.2251,0.2101,13.817,9.8243,17.8325,9.5591,24.8087,2.3373,2.7907,25.865,1.0898,16.987,4.0209,24.895,19.8941,2.1206,1.725,14.7996,6.6333,1.2222,12.3861,7.8167,"2021-08-17 16:06:44"
"20171007","14","11305630","1116070050305",306.5213,2.9397,7.1313,59.4362,50.6779,0.8399,9.9901,78.1118,7.483,6.4226,0.9414,5.0964,4.5991,18.1246,0.6317,2.9706,6.4161,1.3974,0.842,0,17.8501,19.1837,0.3944,235.2694,7.4454,0.5797,6.0066,7.42,23.7194,0,1.8515,12.425,1.1472,"2021-08-17 16:06:44"
"20170610","17","11500641","1114066040009",543.8798,0.656,0.7582,0.2544,1.1377,18.7585,88.3344,67.1425,19.7245,22.8082,39.9795,1.915,12.549,11.6463,1.0089,1.7366,3.8551,21.3394,3.7506,9.2172,16.8387,26.9212,11.2217,5.4214,30.4296,35.3023,0.6592,10.4937,0.1431,10.573,5.0356,2.7892,2.5671,"2021-08-17 16:06:44"
"20180228","13","11650660","1113069010203",562.4109,3.2999,23.3993,0,5.4861,4.866,1.0387,4.95,14.0672,6.5853,10.2679,43.4441,14.1585,5.5894,11.7501,0.2507,109.7551,0,1.2218,18.3667,0.5053,25.1713,15.6314,0.5902,18.2244,0.7415,30.0784,23.5579,13.4858,9.1167,6.5062,38.0808,19.3738,"2021-08-17 16:06:44"
"20181116","06","11590660","1122062021001",466.9089,33.1134,6.903,21.7034,7.7043,4.5624,12.8972,193.8488,30.0802,23.3871,19.7896,16.2438,2.7338,8.5333,1.1488,7.6958,1.019,8.4156,5.0386,63.3465,3.5348,20.6978,18.6137,0.3242,0.4918,62.7938,19.5598,30.7452,28.6703,17.631,0.823,11.1485,142.6844,"2021-08-17 16:06:44"
"20210326","22","11500615","1113068050006",235.2418,0.0157,2.9073,18.461,7.2744,9.1261,2.5633,3.4505,39.1538,3.3606,5.3703,12.0979,7.7898,6.1444,10.4994,1.7058,3.6035,154.7298,6.9364,16.7361,12.8769,21.9242,13.7459,16.8368,16.3975,14.4276,2.59,21.7607,1.5782,81.8494,4.4131,2.6836,0.5971,"2021-08-17 16:06:44"
"20190715","00","11740540","1109075030012",108.9134,5.4833,0,0.1248,5.1197,8.3646,79.6677,21.7867,13.64,54.9219,12.0426,31.1488,80.754,9.8938,0.5396,4.82,0.5025,4.8707,10.2697,16.4166,46.0314,17.2917,6.6204,0.4397,28.4781,8.1934,5.3087,4.6771,12.3624,2.1744,6.7712,10.728,7.3948,"2021-08-17 16:06:44"
"20170905","03","11215730","1115070010312",567.7622,3.8187,8.9025,19.7537,10.6541,0.6185,4.3312,25.2068,0.8707,43.3685,11.8706,5.4261,29.746,5.222,85.8325,4.5271,3.9354,4.5795,4.2493,0,5.7248,4.2936,2.8396,1.6658,34.6692,27.7061,16.764,23.772,3.6443,3.0155,10.6124,41.5751,13.95,"2021-08-17 16:06:44"
"20200526","11","11170685","1115063010006",293.5002,48.3605,21.8372,2.388,14.3904,0.8165,31.4828,5.2053,3.1555,65.1425,7.4357,25.3736,4.2063,6.4065,3.2825,21.8338,2.4686,10.0686,0.7432,25.8469,0.4822,227.1606,15.17,32.5976,40.2784,9.4605,11.0321,8.9635,6.1398,2.7713,11.8159,0,13.4701,"2021-08-17 16:06:44"
"20200608","23","11380690","1123071020007",394.6985,20.1983,5.7136,69.1051,14.6331,36.8989,6.9851,6.8684,0.1237,60.3384,1.3726,67.4635,16.1526,0.0327,7.0712,19.8161,29.2974,44.3978,9.6408,20.2569,33.5694,26.6231,2.6014,13.9695,3.3546,1.1208,61.864,29.1214,18.3191,68.0705,5.7224,6.1697,3.8538,"2021-08-17 16:06:44"
"20181109","23","11545670","1122051011102",594.753,80.8583,2.7373,33.0348,21.1667,0.2295,25.3221,16.1289,42.4279,17.3036,2.4865,12.3483,0.3081,3.5891,7.7589,4.6502,0,9.5873,1.6252,7.1892,15.5604,1.0211,24.5879,9.4851,11.3427,1.7615,35.1242,6.8648,2.8259,0.2519,14.2967,8.2548,14.3754,"2021-08-17 16:06:44"
"20190203","23","11710632","1124080010117",308.4511,8.5426,3.2453,23.5727,122.6872,28.6972,0.184,19.6853,2.087,5.6003,0.7315,16.8515,1.4353,8.0238,7.3086,9.8363,1.0768,6.0104,1.0582,16.3445,17.733,4.1376,0.0024,35.9667,18.628,0.1304,5.6206,9.9139,24.5111,16.5747,6.9875,5.444,8.9091,"2021-08-17 16:06:44"
"20170826","04","11500590","1121052030014",511.53,5.5605,3.9113,47.837,0.0658,60.3208,30.8419,8.8704,12.884,5.6573,18.2384,6.9546,1.4246,1.3967,20.8246,4.0826,0,4.9327,1.6673,5.5002,8.4766,81.5276,9.5094,18.335,3.8391,18.8638,3.8039,48.524,54.8267,16.0147,6.3262,23.0467,10.5999,"2021-08-17 16:06:44"
"20170911","05","11470650","1118061020004",490.7259,14.4599,0,18.2279,9.9304,3.5767,30.4236,48.1845,12.4197,21.8997,33.256,9.0524,16.1234,15.7577,7.3843,14.5748,0.207,21.3973,36.9142,6.8469,11.7552,19.481,30.6482,24.5525,4.2898,12.2294,3.4263,4.4817,7.2527,13.7095,18.7153,6.5393,13.4253,"2021-08-17 16:06:44"
"20180524","04","11530750","1101054010005",473.3872,11.4533,26.0437,3.936,0.0737,20.1705,29.9114,9.2933,8.388,0.5051,9.2691,12.1124,1.7136,8.7008,4.4003,3.4727,5.0083,7.1891,4.241,14.8268,3.5274,14.9307,5.9321,115.8483,9.7336,44.6356,32.4043,4.6226,21.238,13.2597,7.5214,6.5938,0.6585,"2021-08-17 16:06:44"
"20200712","01","11260580","1123058020004",123.3836,39.2892,21.2957,0.2035,16.3013,5.5265,1.2674,26.7982,31.5365,75.7908,43.5685,21.6039,3.166,14.5974,10.3401,7.3268,5.1336,2.8008,7.5584,3.4414,15.4167,19.4559,17.3929,4.7757,9.2098,7.7037,6.3412,11.0571,14.752,1.8528,11.9489,0,25.827,"2021-08-17 16:06:44"
"20210909","08","11710531","1124082020501",1386.5192,4.4293,2.942,39.6386,49.4549,16.6462,3.1906,9.3819,18.6809,20.2116,10.4056,9.7071,9.4026,12.3258,5.3877,9.3198,1.9676,0.5311,7.8327,14.2814,11.0422,14.7087,52.5517,9.3709,52.5776,102.9158,2.5967,19.8164,1.07,21.9317,17.177,5.4685,15.1598,"2021-08-17 16:06:44"
"20200715","04","11380520","1122063020003",94.637,8.4025,1.0297,0,15.8323,21.0363,14.8937,198.4184,6.6869,31.3333,21.6061,3.2404,2.754,13.2155,16.1049,13.0869,0.951,14.7676,4.9787,0.7673,12.3171,9.2347,35.1703,11.2989,35.6431,30.9373,23.6175,39.329,0.8845,50.7305,4.8744,9.1241,24.4809,"2021-08-17 16:06:44"
"20191102","02","11470520","1103052020022",447.8476,3.2878,0.0208,1.5478,15.9641,8.2574,19.2802,82.8521,14.696,0.3274,0.1715,20.7886,2.128,4.1254,4.6947,9.805,9.107,13.6173,4.6833,11.9403,3.4514,4.238,2.1694,16.9864,5.4847,0.8071,12.1547,0,37.9163,11.727,3.0305,3.5602,20.9571,"2021-08-17 16:06:44"
"20190724","21","11260620","1124067010006",263.58,5.1797,2.8942,20.6102,2.417,10.2397,17.0323,0.0001,8.8762,82.1895,2.0573,3.0476,46.3887,4.3402,6.4242,5.9843,15.604,30.6503,2.7794,6.1439,27.2884,3.5871,20.2657,18.2574,6.0343,68.3937,6.1482,16.1549,3.8452,15.6999,0.2604,6.7403,151.0346,"2021-08-17 16:06:44"
"20190806","05","11620625","1123080050103",177.1564,11.432,3.33,6.6606,3.0307,7.0304,3.0636,1.7181,2.2008,0.2069,31.7145,0.0204,3.2089,20.6518,4.5131,0.0244,33.4595,1.1656,10.089,0.1531,1.6477,16.2745,15.7015,83.0804,0,9.488,17.0841,18.4132,18.4862,13.9953,16.2602,7.8479,1.4805,"2021-08-17 16:06:44"
"20201017","00","11650570","1109074010010",370.292,22.2457,5.6697,8.1099,6.0256,26.545,14.8095,15.6359,14.6151,13.9047,21.2035,15.1216,21.1493,11.5777,0.7674,10.0532,0.0199,17.9959,4.8245,1.6793,7.4019,1.5555,12.2423,17.3371,62.5665,34.9496,23.5613,0.0424,12.2417,4.1767,9.5843,0.641,4.2954,"2021-08-17 16:06:44"
"20171214","10","11680650","1103057010304",150.0375,8.0139,1.602,15.6359,12.2273,5.1275,21.5979,30.2049,43.4431,48.2771,11.3282,156.5096,5.7671,1.7069,17.0135,1.6381,9.9087,6.1496,1.1022,9.1404,0.68,7.6031,8.5686,23.8196,47.0597,41.8226,25.8686,1.8163,0,16.4403,2.1447,6.3965,5.9978,"2021-08-17 16:06:44"
